tenure_months,monthly_charges,total_charges,contract_month_to_month,has_fiber,support_tickets,late_payments,addon_count,churn
31.0,75.05,1977.57,0,0,5,4,4,0
37.0,53.08,1669.37,0,0,0,3,5,0
23.0,63.79,1247.09,1,1,6,3,1,1
23.0,48.88,955.6,0,1,5,5,2,0
18.0,54.32,831.1,0,0,5,1,3,0
25.0,48.93,1039.76,0,0,6,3,4,0
5.0,48.72,207.06,1,0,0,2,3,0
47.0,48.45,1935.58,0,1,5,2,2,0
10.0,64.06,544.51,0,0,1,1,2,1
13.0,69.34,766.21,1,0,2,2,1,0
58.0,73.7,3633.41,1,0,1,3,1,0
27.0,75.85,1740.76,1,1,1,2,0,1
30.0,78.71,2007.1,1,0,8,6,1,0
66.0,67.88,3808.07,1,1,1,1,1,1
2.0,45.92,78.06,1,0,4,5,5,0
22.0,47.21,882.83,0,0,6,3,4,0
35.0,46.56,1385.16,0,0,1,5,4,0
33.0,70.63,1981.17,1,0,4,4,2,0
58.0,47.53,2343.23,1,0,1,1,4,1
72.0,73.59,4503.71,0,0,8,3,4,0
23.0,49.95,976.52,0,0,3,4,4,0
34.0,61.42,1775.04,0,0,5,3,3,0
26.0,77.74,1718.05,0,0,3,4,3,0
67.0,45.22,2575.28,1,0,7,5,3,1
69.0,72.78,4268.55,1,1,2,2,0,1
61.0,63.2,3276.92,1,0,4,4,4,0
32.0,47.32,1287.1,0,0,4,6,3,0
30.0,49.79,1269.64,1,0,7,1,3,1
70.0,62.82,3737.79,1,0,1,2,2,0
45.0,60.24,2304.18,1,1,4,2,0,1
55.0,68.75,3214.06,0,0,8,0,5,1
3.0,79.03,201.53,0,0,1,3,4,0
33.0,76.77,2153.4,1,0,6,4,1,1
8.0,52.65,358.02,1,0,7,3,4,1
16.0,66.48,904.13,1,1,7,2,1,0
56.0,63.25,3010.7,1,0,4,4,1,0
30.0,75.69,1930.09,1,1,3,5,1,0
15.0,70.79,902.57,1,1,4,1,1,0
57.0,51.89,2514.07,0,0,6,3,4,0
66.0,50.17,2814.54,0,0,3,6,4,0
64.0,52.43,2852.19,0,0,1,5,2,0
25.0,68.32,1451.8,1,0,5,3,1,0
41.0,45.86,1598.22,0,0,6,5,5,0
70.0,62.77,3734.82,1,1,2,5,0,0
68.0,69.61,4023.46,1,0,6,3,2,0
57.0,53.29,2581.9,0,0,6,2,5,0
33.0,46.02,1290.86,0,0,5,5,3,0
34.0,78.55,2270.09,1,0,4,4,2,0
59.0,59.75,2996.46,1,0,3,1,3,0
36.0,79.57,2434.84,0,0,1,5,2,0
33.0,58.95,1653.55,0,0,4,2,5,1
52.0,60.94,2693.55,0,0,7,2,4,0
51.0,56.47,2447.97,0,0,3,2,4,0
11.0,68.21,637.76,1,0,4,4,1,0
43.0,66.38,2426.19,1,0,0,4,2,0
30.0,47.26,1205.13,1,0,3,3,4,0
35.0,65.41,1945.95,0,0,4,4,4,0
60.0,51.3,2616.3,0,0,3,4,4,0
46.0,74.18,2900.44,1,0,5,1,3,0
24.0,46.4,946.56,1,0,5,5,5,0
20.0,47.75,811.75,0,1,1,2,3,0
70.0,69.39,4128.7,1,0,1,4,1,0
10.0,53.18,452.03,1,0,8,1,3,1
47.0,52.16,2083.79,1,0,7,0,4,1
15.0,75.91,967.85,1,0,2,2,3,0
27.0,76.34,1752.0,1,1,2,4,0,1
56.0,64.12,3052.11,0,0,2,1,5,1
44.0,58.14,2174.44,0,1,8,0,1,1
71.0,79.46,4795.41,0,0,7,6,3,0
17.0,70.95,1025.23,0,0,5,3,2,0
60.0,46.67,2380.17,0,0,3,3,4,0
36.0,55.07,1685.14,0,0,7,3,3,1
3.0,79.14,201.81,0,0,7,4,2,0
31.0,47.85,1260.85,0,0,6,5,3,0
5.0,50.71,215.52,0,0,2,5,3,0
18.0,49.9,763.47,0,1,5,4,3,0
38.0,72.89,2354.35,1,0,4,1,2,0
21.0,73.54,1312.69,1,0,1,5,1,0
20.0,76.66,1303.22,1,1,0,5,0,1
71.0,71.38,4307.78,1,1,6,4,0,1
14.0,56.9,677.11,1,0,6,0,4,1
60.0,77.9,3972.9,0,0,0,4,4,0
51.0,57.6,2496.96,0,0,3,5,3,0
38.0,61.96,2001.31,1,0,1,1,1,0
49.0,61.91,2578.55,1,0,6,1,3,0
24.0,78.6,1603.44,0,0,3,6,2,0
6.0,59.05,301.15,1,1,5,4,0,1
40.0,65.78,2236.52,1,0,7,5,1,0
55.0,48.28,2257.09,1,0,7,1,2,1
40.0,77.15,2623.1,1,0,1,6,1,0
52.0,73.32,3240.74,1,1,2,3,0,1
68.0,55.5,3207.9,1,0,3,0,4,1
54.0,59.81,2745.28,1,0,0,0,4,1
8.0,70.15,477.02,1,0,5,2,2,0
31.0,65.89,1736.2,1,0,5,2,2,0
22.0,54.15,1012.6,0,0,4,3,3,0
17.0,65.52,946.76,0,0,8,6,5,0
55.0,70.36,3289.33,1,0,6,5,1,1
1.0,63.31,53.81,1,0,4,5,1,1
57.0,53.72,2602.73,0,0,7,3,3,0
12.0,60.88,620.98,0,0,6,3,3,0
2.0,74.94,127.4,0,1,6,3,0,1
14.0,47.96,570.72,1,0,4,0,3,1
29.0,74.08,1826.07,1,0,8,5,1,0
24.0,45.32,924.53,1,0,1,1,3,0
49.0,51.68,2152.47,1,0,7,6,5,0
31.0,79.41,2092.45,1,0,1,5,0,1
32.0,62.88,1710.34,1,0,1,1,1,0
20.0,52.97,900.49,0,0,3,6,3,0
37.0,66.16,2080.73,1,0,4,6,1,0
50.0,57.06,2425.05,1,0,3,1,2,0
11.0,49.36,461.52,1,0,2,4,4,0
69.0,46.29,2714.91,0,1,3,1,3,0
8.0,74.99,509.93,1,0,5,6,1,0
51.0,68.48,2968.61,0,1,2,1,0,1
8.0,59.97,407.8,0,0,7,3,3,0
48.0,71.65,2923.32,1,0,4,2,2,0
3.0,78.33,199.74,1,0,4,4,2,0
45.0,79.84,3053.88,0,0,8,6,1,0
39.0,67.13,2225.36,1,0,8,0,2,0
43.0,51.41,1879.04,1,0,3,2,5,0
7.0,65.14,387.58,0,0,1,3,3,0
43.0,65.84,2406.45,0,0,4,1,4,0
45.0,74.02,2831.26,1,0,4,5,2,0
6.0,55.61,283.61,1,0,4,6,3,1
46.0,67.18,2626.74,0,0,6,0,5,1
1.0,62.98,53.53,1,0,4,3,2,0
55.0,52.05,2433.34,1,0,4,0,4,0
44.0,77.95,2915.33,1,0,2,2,3,0
13.0,65.08,719.13,0,0,2,3,3,0
26.0,79.19,1750.1,0,0,1,6,1,0
57.0,68.15,3301.87,1,0,5,4,1,1
21.0,59.38,1059.93,0,0,1,2,4,0
29.0,56.2,1385.33,1,0,2,2,5,0
68.0,61.37,3547.19,0,1,3,3,1,0
37.0,79.68,2505.94,1,0,4,6,1,0
23.0,45.59,891.28,0,0,5,4,4,0
56.0,56.42,2685.59,0,0,5,2,4,0
53.0,48.66,2192.13,1,0,8,2,5,0
62.0,49.63,2615.5,0,0,5,4,3,0
47.0,62.5,2496.88,1,0,3,0,2,1
45.0,46.94,1795.45,0,0,0,6,5,0
17.0,69.98,1011.21,0,0,1,4,3,0
22.0,53.88,1007.56,1,0,6,1,4,1
62.0,54.75,2885.32,1,0,6,2,3,0
70.0,63.63,3785.98,1,0,2,3,4,0
54.0,73.43,3370.44,1,0,6,3,1,0
59.0,76.98,3860.55,1,0,6,5,1,1
56.0,47.58,2264.81,0,1,3,4,3,0
5.0,63.36,269.28,1,1,4,4,1,1
30.0,54.69,1394.59,1,0,7,2,3,1
25.0,75.48,1603.95,1,0,7,5,0,1
64.0,67.72,3683.97,1,0,6,2,2,0
39.0,74.24,2461.06,1,1,7,4,0,1
71.0,70.85,4275.8,1,0,4,3,3,0
42.0,69.55,2482.94,1,0,7,1,2,0
68.0,68.91,3983.0,1,0,7,3,1,0
6.0,56.63,288.81,1,1,4,2,0,1
32.0,55.02,1496.54,0,0,5,3,2,0
27.0,51.46,1181.01,1,0,5,1,1,0
57.0,54.26,2628.9,1,0,2,0,3,1
61.0,73.05,3787.64,1,0,8,1,2,0
38.0,58.84,1900.53,0,1,5,2,2,1
45.0,67.51,2582.26,1,0,8,5,2,0
31.0,76.23,2008.66,1,0,3,2,2,0
23.0,66.11,1292.45,1,0,4,5,1,0
9.0,75.64,578.65,1,0,4,6,1,0
54.0,48.34,2218.81,0,0,1,4,4,0
2.0,66.32,112.74,1,0,4,1,2,0
5.0,58.52,248.71,1,0,2,1,4,1
37.0,72.41,2277.29,1,0,1,4,1,1
39.0,55.45,1838.17,0,0,5,4,4,0
1.0,70.52,59.94,1,0,8,2,2,0
53.0,50.49,2274.57,1,0,2,3,3,0
64.0,71.49,3889.06,1,0,1,1,2,0
16.0,62.55,850.68,1,1,3,2,0,1
1.0,51.08,43.42,0,0,3,3,4,0
57.0,49.85,2415.23,0,0,1,4,3,0
16.0,46.18,628.05,1,0,7,2,4,0
1.0,76.88,65.35,1,1,3,3,0,1
69.0,65.57,3845.68,1,1,5,3,0,1
27.0,76.45,1754.53,1,0,4,5,1,0
13.0,57.55,635.93,1,0,1,1,2,1
39.0,75.37,2498.52,1,0,2,2,2,0
47.0,47.48,1896.83,0,0,6,1,4,0
3.0,65.25,166.39,1,0,1,3,1,0
6.0,53.99,275.35,0,1,3,2,2,0
2.0,64.38,109.45,0,0,3,3,4,0
22.0,69.23,1294.6,1,1,4,3,0,1
2.0,58.57,99.57,1,0,2,2,5,0
36.0,77.85,2382.21,1,1,6,5,0,1
58.0,74.51,3673.34,1,0,2,1,2,0
42.0,59.48,2123.44,0,0,1,1,3,0
40.0,55.18,1876.12,0,0,5,5,5,0
63.0,52.54,2813.52,0,0,2,4,5,0
41.0,76.61,2669.86,1,0,4,4,3,0
32.0,69.07,1878.7,1,0,6,3,2,0
49.0,53.78,2239.94,1,0,1,3,3,1
61.0,71.33,3698.46,1,1,2,5,0,1
9.0,72.73,556.38,1,0,6,6,1,0
14.0,65.95,784.8,0,0,1,6,4,0
64.0,62.28,3388.03,1,0,7,6,1,0
50.0,70.04,2976.7,0,1,8,4,1,1
17.0,52.38,756.89,0,0,3,0,5,1
28.0,45.97,1094.09,0,0,0,6,4,0
20.0,48.18,819.06,0,1,7,4,2,0
44.0,45.11,1687.11,1,0,2,6,4,0
35.0,54.85,1631.79,0,0,4,0,5,1
50.0,57.44,2441.2,1,0,2,0,4,1
36.0,71.76,2195.86,1,0,0,2,3,0
61.0,49.2,2551.02,1,0,7,1,3,1
48.0,69.88,2851.1,1,0,0,3,2,0
42.0,78.82,2813.87,1,0,2,6,1,0
1.0,68.05,57.84,1,0,7,4,1,0
33.0,54.48,1528.16,1,0,3,0,4,1
2.0,58.3,99.11,1,0,4,5,5,0
64.0,58.19,3165.54,0,0,8,2,5,0
41.0,62.45,2176.38,0,0,3,0,5,1
34.0,55.23,1596.15,0,1,7,2,3,0
33.0,50.6,1419.33,0,0,3,3,3,0
46.0,76.5,2991.15,1,0,5,6,0,1
28.0,71.87,1710.51,1,0,3,5,2,0
66.0,55.88,3134.87,0,0,6,4,5,0
58.0,57.87,2852.99,1,1,3,4,1,0
72.0,68.1,4167.72,1,0,5,4,2,0
37.0,73.97,2326.36,1,0,0,6,1,0
22.0,71.55,1337.98,1,0,1,5,1,0
48.0,67.02,2734.42,0,0,2,5,3,0
23.0,66.05,1291.28,1,1,6,1,1,1
28.0,58.89,1401.58,0,0,3,2,3,0
18.0,47.05,719.86,0,0,1,6,5,0
58.0,52.59,2592.69,0,0,8,6,3,0
11.0,69.77,652.35,1,0,4,3,2,0
26.0,50.44,1114.72,1,1,7,2,1,1
13.0,61.75,682.34,1,0,1,2,1,0
55.0,60.56,2831.18,0,0,5,0,5,1
10.0,59.43,505.16,1,0,3,1,5,1
72.0,71.82,4395.38,1,0,1,2,1,0
65.0,52.81,2917.75,1,0,1,2,4,0
12.0,68.53,699.01,1,1,5,4,0,1
66.0,49.58,2781.44,0,0,1,5,4,0
13.0,55.12,609.08,0,0,5,2,4,0
6.0,78.87,402.24,0,0,1,6,2,0
34.0,66.0,1907.4,0,0,6,6,2,0
11.0,75.15,702.65,1,0,3,3,2,0
70.0,67.08,3991.26,0,1,7,3,0,1
10.0,60.78,516.63,1,0,8,0,4,1
71.0,76.72,4630.05,1,0,8,6,1,0
47.0,69.72,2785.31,1,0,5,0,2,0
62.0,64.65,3407.06,1,1,5,1,1,1
14.0,51.03,607.26,0,0,2,5,3,0
32.0,66.75,1815.6,1,0,2,3,1,0
54.0,69.45,3187.76,0,1,8,4,0,1
49.0,78.28,3260.36,1,0,7,5,1,0
51.0,75.96,3292.87,1,0,8,4,2,0
68.0,52.48,3033.34,0,0,6,2,4,0
59.0,79.89,4006.48,1,1,4,4,0,1
61.0,73.86,3829.64,1,0,3,5,1,0
7.0,70.58,419.95,1,1,5,5,1,0
1.0,49.42,42.01,1,0,8,4,4,0
60.0,75.58,3854.58,1,0,1,1,4,0
29.0,64.44,1588.45,0,0,4,1,3,0
13.0,70.31,776.93,1,0,6,3,2,0
9.0,59.32,453.8,1,0,6,1,2,0
60.0,51.78,2640.78,0,0,2,5,4,0
10.0,49.68,422.28,0,0,7,5,4,0
48.0,74.72,3048.58,1,0,2,5,1,0
1.0,51.62,43.88,1,0,1,0,3,1
15.0,79.78,1017.2,1,0,6,6,1,0
36.0,61.21,1873.03,1,0,3,5,1,0
57.0,57.49,2785.39,0,0,2,0,5,1
52.0,73.16,3233.67,1,0,1,4,1,0
40.0,48.23,1639.82,0,1,5,3,2,0
6.0,58.78,299.78,0,0,7,5,4,0
52.0,48.02,2122.48,1,0,0,0,3,1
11.0,75.8,708.73,1,0,6,2,2,0
33.0,78.06,2189.58,1,0,1,2,2,0
38.0,76.39,2467.4,1,0,8,4,2,0
18.0,50.06,765.92,1,0,0,0,5,1
28.0,69.12,1645.06,1,0,0,1,1,0
26.0,74.67,1650.21,1,1,4,2,0,1
19.0,48.82,788.44,1,0,5,0,4,1
61.0,68.58,3555.87,1,0,7,6,1,0
25.0,55.98,1189.58,0,0,1,2,3,0
17.0,63.74,921.04,1,0,8,5,1,1
53.0,66.65,3002.58,1,0,2,4,2,0
50.0,49.52,2104.6,1,0,8,0,5,1
65.0,74.62,4122.76,0,0,7,6,3,0
26.0,77.04,1702.58,1,0,4,5,1,0
61.0,45.38,2352.95,1,0,3,3,4,0
19.0,65.46,1057.18,0,0,8,0,5,1
3.0,60.02,153.05,1,0,2,0,2,1
47.0,50.76,2027.86,1,0,4,3,3,0
36.0,75.75,2317.95,1,0,3,5,1,1
34.0,66.7,1927.63,1,1,4,4,1,0
46.0,50.55,1976.5,1,0,7,0,3,1
65.0,56.04,3096.21,0,0,5,1,4,0
5.0,61.53,261.5,0,0,6,5,2,0
37.0,76.07,2392.4,0,1,6,1,0,1
25.0,79.95,1698.94,0,0,4,4,2,0
67.0,55.77,3176.1,0,0,3,5,3,0
55.0,49.74,2325.35,0,0,8,3,3,0
61.0,67.83,3516.99,1,0,1,3,1,0
53.0,71.98,3242.7,1,0,4,6,1,0
18.0,63.47,971.09,1,0,7,1,1,0
43.0,52.92,1934.23,0,0,0,4,5,0
56.0,57.28,2726.53,1,0,3,1,3,0
59.0,48.55,2434.78,0,1,5,3,3,0
10.0,60.29,512.46,0,1,0,3,2,0
16.0,58.35,793.56,1,0,5,1,4,0
70.0,62.61,3725.29,0,1,2,2,1,1
69.0,64.87,3804.63,1,0,0,2,2,0
68.0,79.3,4583.54,0,0,8,5,3,0
62.0,73.48,3872.4,1,0,3,4,1,0
30.0,50.92,1298.46,1,0,5,1,3,1
17.0,64.76,935.78,1,0,2,3,1,0
25.0,53.83,1143.89,1,0,5,0,4,1
14.0,67.45,802.66,0,0,5,1,4,0
59.0,49.25,2469.89,0,0,4,4,4,0
27.0,45.81,1051.34,0,1,0,3,4,0
17.0,79.62,1150.51,1,0,6,4,2,0
63.0,64.22,3438.98,0,1,3,1,2,0
33.0,78.92,2213.71,1,1,3,3,0,1
58.0,55.34,2728.26,1,0,1,0,3,1
5.0,59.16,251.43,0,0,4,3,4,0
47.0,54.05,2159.3,1,0,2,4,5,0
48.0,73.22,2987.38,1,0,5,4,1,1
66.0,72.14,4047.05,1,0,0,6,2,0
21.0,62.02,1107.06,1,0,7,3,2,1
10.0,57.17,485.95,0,0,5,2,4,0
34.0,60.45,1747.0,1,1,2,1,0,1
16.0,52.27,710.87,0,1,7,1,2,0
65.0,77.79,4297.9,1,0,3,1,2,0
20.0,59.27,1007.59,1,0,4,0,2,0
51.0,63.04,2732.78,1,0,7,1,1,0
14.0,50.01,595.12,1,0,8,4,3,0
36.0,62.66,1917.4,0,0,5,1,5,1
68.0,63.09,3646.6,1,1,3,1,0,1
52.0,55.66,2460.17,0,0,6,3,3,0
10.0,66.59,566.02,0,0,4,3,4,0
68.0,53.94,3117.73,0,0,1,3,3,0
54.0,78.44,3600.4,0,0,2,3,3,0
35.0,49.31,1466.97,0,0,2,4,4,0
51.0,70.25,3045.34,0,0,6,4,3,0
35.0,79.73,2371.97,0,0,4,6,2,0
31.0,73.0,1923.55,1,0,4,2,1,0
46.0,53.13,2077.38,0,0,2,0,5,1
63.0,52.86,2830.65,0,0,7,2,4,0
48.0,79.08,3226.46,0,0,6,6,3,0
27.0,60.83,1396.05,0,0,6,1,4,0
24.0,53.56,1092.62,0,0,1,5,5,0
29.0,55.82,1375.96,1,0,7,0,4,1
29.0,67.99,1675.95,1,0,6,1,2,0
12.0,59.0,601.8,0,1,2,1,2,0
41.0,77.68,2707.15,1,0,7,2,1,0
37.0,54.42,1711.51,1,0,1,1,4,0
9.0,49.47,378.45,0,0,0,2,4,0
38.0,59.11,1909.25,0,1,2,3,3,0
2.0,56.09,95.35,1,0,0,3,4,1
44.0,69.82,2611.27,1,1,0,3,0,1
37.0,47.42,1491.36,0,1,6,3,3,0
21.0,46.45,829.13,1,0,3,1,5,1
7.0,55.28,328.92,0,0,6,0,5,1
42.0,54.64,1950.65,1,0,7,3,4,0
